Calendar year,Headline Inflation rate,Year, Headline Inflation rate
1975,14.7                 ,1974 - 75,20.6                
1976,13.4                 ,1975 - 76,14.7                
1977,9.2                 ,1976 - 77,9.6                
1978,8.5                 ,1977 - 78,10.1                
1979,14.5                 ,1978 - 79,8.0                
1980,42.0                 ,1979 - 80,33.0                
1981,14.5                 ,1980 - 81,26.5                
1982,11.4                 ,1981 - 82,13.4                
1983,5.6                 ,1982 - 83,7.5                
1984,7.3                 ,1983 - 84,5.6                
1985,6.7                 ,1984 - 85,8.3                
1986,1.8                 ,1985 - 86,4.3                
1987,0.6                 ,1986 - 87,0.7                
1988,9.2                 ,1987 - 88,1.5                
1989,12.6                 ,1988 - 89,16.0                
1990,13.5                 ,1989 - 90,10.7                
1991,7.0                 ,1990 - 91,12.8                
1992,4.6                 ,1991 - 92,2.9                
1993,10.5                 ,1992 - 93,8.9                
1994,7.3                 ,1993 - 94,9.4                
1995,6.0                 ,1994 - 95,6.1                
1996,6.6                 ,1995 - 96,5.8                
1997,6.6                 ,1996 - 97,7.9                
1998,6.8                 ,1997 - 98,5.4                
1999,6.9                 ,1998 - 99,7.9                
2000,4.2                 ,1999 - 2000,5.3                
2001,5.4                 ,2000 - 2001,4.4                
2002,6.4                 ,2001 - 2002,6.3                
2003,3.9                 ,2002 - 2003 ,5.1                
2004,4.7                 ,2003 - 2004 ,3.9                
2005,4.9,2004 - 2005 ,5.6                
2006,8.9,2005 - 2006 ,5.1                
2007,8.8,2006 - 2007 ,10.7                
2008,9.7,2007 - 2008 ,8.8
2009,2.5,2008 - 2009 ,6.9
2010,2.9,2009 - 2010,1.7
2011,6.5,2010 - 2011,5.1
2012,3.9,2011 - 2012,5.1
2013,3.5,2012 - 2013,3.6
2014,3.2,2013 - 2014,4.0
2015,1.3,2014 - 2015,1.7
2016,1.0,2015 - 2016,0.9
2017,3.7,2016-2017,2.4
2018,3.2,2017-2018,4.3
2019,0.5,2018-2019,1.0
2020,2.5,2019-2020,1.8
2021,4,2020 - 2021,2.2
2022,10.8,2021-2022,8.0
